dataset,seed,method,method_label,group,test_f1,test_auc,test_ap,precision,recall,val_f1,metrics_path
Meta,43,ours_imbalance,Ours+Imbalance,Proposed,0.9945054945054945,0.9955666650945622,0.9972081972081971,0.9945054945054945,0.9945054945054945,0.9945054945054945,outputs/paper_5seed_qwen_counter_clean_pctrain_20260616/Meta/seed_43/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,44,ours_imbalance,Ours+Imbalance,Proposed,0.9862258953168044,0.9941989341130973,0.9957520321593988,0.988950276243094,0.9835164835164835,0.9972451790633609,outputs/paper_5seed_qwen_counter_clean_pctrain_20260616/Meta/seed_44/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,45,ours_imbalance,Ours+Imbalance,Proposed,0.9861495844875346,0.991227656463708,0.9935660105823532,0.994413407821229,0.978021978021978,0.988950276243094,outputs/paper_5seed_qwen_counter_clean_pctrain_20260616/Meta/seed_45/sage_rule_scalar_qwen_motif_channel/metrics.json
Meta,46,ours_imbalance,Ours+Imbalance,Proposed,0.9835164835164835,0.9966514172522756,0.9972874875728137,0.9835164835164835,0.9835164835164835,0.9917355371900827,outputs/paper_5seed_qwen_counter_clean_pctrain_20260616/Meta/seed_46/sage_rule_scalar_qwen_motif_channel/metrics.json
ZipZap,42,logreg,Logistic Regression,Raw tabular,0.6224961479198767,0.7026635514430065,0.4624750416024445,0.5135593220338983,0.7900912646675359,0.6107784431137725,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_42/tabular/logreg/metrics.json
ZipZap,43,logreg,Logistic Regression,Raw tabular,0.6357406431207169,0.7283751508679694,0.5067477629881054,0.5336283185840708,0.7861799217731421,0.6395348837209303,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_43/tabular/logreg/metrics.json
ZipZap,44,logreg,Logistic Regression,Raw tabular,0.6388459556929418,0.7295776929327324,0.4948686893200468,0.5281090289608177,0.8083441981747066,0.6239583333333333,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_44/tabular/logreg/metrics.json
ZipZap,45,logreg,Logistic Regression,Raw tabular,0.6191670847967887,0.7028117961711712,0.46422949435686484,0.5036734693877551,0.8033854166666666,0.6310534198701947,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_45/tabular/logreg/metrics.json
ZipZap,46,logreg,Logistic Regression,Raw tabular,0.6452261306532663,0.7289234058277027,0.4938536546823217,0.5253682487725041,0.8359375,0.6250624063904143,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_46/tabular/logreg/metrics.json
ZipZap,42,mlp,MLP,Raw tabular,0.6770708283313326,0.8445309425693729,0.7342606245677566,0.6273637374860956,0.7353324641460235,0.6526694661067787,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_42/tabular/mlp/metrics.json
ZipZap,43,mlp,MLP,Raw tabular,0.6573686657368666,0.8274647050382639,0.7175947301378145,0.5108381502890174,0.9217731421121251,0.6694756554307116,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_43/tabular/mlp/metrics.json
ZipZap,44,mlp,MLP,Raw tabular,0.6637168141592921,0.8376414153374292,0.7373167861193535,0.5327545382794001,0.8800521512385919,0.6604053386060307,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_44/tabular/mlp/metrics.json
ZipZap,45,mlp,MLP,Raw tabular,0.6546184738955824,0.8285582946227477,0.7099472281854875,0.5326797385620915,0.8489583333333334,0.6736007924715206,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_45/tabular/mlp/metrics.json
ZipZap,46,mlp,MLP,Raw tabular,0.651928504233302,0.8187231665259009,0.7017264094790022,0.5103092783505154,0.90234375,0.648320895522388,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_46/tabular/mlp/metrics.json
ZipZap,42,rf,Random Forest,Raw tabular,0.703068122724909,0.8818480412913858,0.7981787813904988,0.5847750865051903,0.8813559322033898,0.6984287886467309,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_42/tabular/rf/metrics.json
ZipZap,43,rf,Random Forest,Raw tabular,0.7078481012658228,0.8859706653684613,0.8090064547863299,0.5786423841059603,0.9113428943937418,0.708018154311649,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_43/tabular/rf/metrics.json
ZipZap,44,rf,Random Forest,Raw tabular,0.7143592382913021,0.8946530014692844,0.8230422672147377,0.5901360544217688,0.9048239895697523,0.7136842105263158,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_44/tabular/rf/metrics.json
ZipZap,45,rf,Random Forest,Raw tabular,0.6867724867724868,0.8630437077702703,0.7643476986176416,0.5784313725490197,0.8450520833333334,0.694560669456067,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_45/tabular/rf/metrics.json
ZipZap,46,rf,Random Forest,Raw tabular,0.7011739594450374,0.8753198022240991,0.7858915462024796,0.5940325497287523,0.85546875,0.7064516129032258,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_46/tabular/rf/metrics.json
ZipZap,42,lightgbm,LightGBM,Raw tabular,0.7371167645140247,0.8998879329393524,0.8304849623175027,0.737597911227154,0.7366362451108214,0.7453580901856764,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_42/tabular/lightgbm/metrics.json
ZipZap,43,lightgbm,LightGBM,Raw tabular,0.7319587628865979,0.9023858927554324,0.8382395374968353,0.7235668789808917,0.7405475880052151,0.732051282051282,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_43/tabular/lightgbm/metrics.json
ZipZap,44,lightgbm,LightGBM,Raw tabular,0.7372353673723536,0.9061634242341278,0.8452748157757191,0.7056019070321812,0.771838331160365,0.7323943661971831,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_44/tabular/lightgbm/metrics.json
ZipZap,45,lightgbm,LightGBM,Raw tabular,0.7233201581027668,0.8862938133445947,0.8092111233756323,0.732,0.71484375,0.733822548365577,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_45/tabular/lightgbm/metrics.json
ZipZap,46,lightgbm,LightGBM,Raw tabular,0.7217741935483871,0.8937196473817568,0.8149103469427703,0.7458333333333333,0.69921875,0.7435043304463691,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_46/tabular/lightgbm/metrics.json
ZipZap,42,gcn,GCN,GNN,0.7751657625075347,0.9173908182480036,0.8511153145087383,0.7208520179372198,0.8383311603650587,0.8190954773869347,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_42/sampled_gcn/metrics.json
ZipZap,43,gcn,GCN,GNN,0.8102372034956304,0.9348813788209981,0.8758530094282619,0.7772455089820359,0.8461538461538461,0.8225317989097517,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_43/sampled_gcn/metrics.json
ZipZap,44,gcn,GCN,GNN,0.793993993993994,0.9280913298125673,0.8806245716596297,0.7360801781737194,0.8617992177314211,0.8184578020643595,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_44/sampled_gcn/metrics.json
ZipZap,45,gcn,GCN,GNN,0.7868080094228505,0.9235690280123875,0.858851609876007,0.7182795698924731,0.8697916666666666,0.836036036036036,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_45/sampled_gcn/metrics.json
ZipZap,46,gcn,GCN,GNN,0.823019801980198,0.9410138654279279,0.8921096646951664,0.7841981132075472,0.8658854166666666,0.8176795580110497,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_46/sampled_gcn/metrics.json
ZipZap,42,gat,GAT,GNN,0.8706786171574904,0.9578529254080588,0.9282388058926132,0.8553459119496856,0.8865710560625815,0.9034700315457413,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_42/sampled_gat/metrics.json
ZipZap,43,gat,GAT,GNN,0.881979695431472,0.9719770724703258,0.9487840786476471,0.8590852904820766,0.9061277705345502,0.8832807570977917,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_43/sampled_gat/metrics.json
ZipZap,44,gat,GAT,GNN,0.8721351025331725,0.9695526208990544,0.9379914344110634,0.8114478114478114,0.9426336375488917,0.8959608323133414,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_44/sampled_gat/metrics.json
ZipZap,45,gat,GAT,GNN,0.8828606658446363,0.9651239618524775,0.9288452893730853,0.8384074941451991,0.9322916666666666,0.9002493765586035,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_45/sampled_gat/metrics.json
ZipZap,46,gat,GAT,GNN,0.8876117496807152,0.9697045678490991,0.9436560371072925,0.8709273182957393,0.9049479166666666,0.8961038961038961,outputs/paper_main_baselines_clean_20260615/ZipZap/seed_46/sampled_gat/metrics.json
ZipZap,42,graphsage,GraphSAGE,GNN,0.8886027044430135,0.9754772973967518,0.9502487236633013,0.8778625954198473,0.8996088657105606,0.9075520833333334,outputs/paper_5seed_qwen_counter_clean_20260615/ZipZap/seed_42/sage_no_evidence/metrics.json
ZipZap,43,graphsage,GraphSAGE,GNN,0.8888888888888888,0.9740916449736646,0.9508102687773485,0.8759493670886076,0.9022164276401564,0.8928571428571429,outputs/paper_5seed_qwen_counter_clean_20260615/ZipZap/seed_43/sage_no_evidence/metrics.json
ZipZap,44,graphsage,GraphSAGE,GNN,0.8883312421580929,0.9735986555474074,0.9461668643589197,0.8561064087061668,0.9230769230769231,0.905422446406053,outputs/paper_5seed_qwen_counter_clean_20260615/ZipZap/seed_44/sage_no_evidence/metrics.json
ZipZap,45,graphsage,GraphSAGE,GNN,0.8770806658130602,0.9713440491272524,0.9468017521612972,0.8627204030226701,0.8919270833333334,0.8952380952380953,outputs/paper_5seed_qwen_counter_clean_20260615/ZipZap/seed_45/sage_no_evidence/metrics.json
